編號,歌手/團體名稱,類別標籤,別名/譯名,相關團體,合唱組合,歌庫已收錄曲數
544,ROXETTE,Solo / Group,,,,0
545,BOBBY VINTON,Solo / Group,,,,0
546,寶兒,Solo / Group,,,,0
547,Deen,Solo / Group,,,,0
548,Coldplay,Solo / Group,,,,0
549,Madonna,Solo / Group,,,,0
550,吳建豪+安七炫,Solo / Group,,,,0
551,Dreams Come True,Solo / Group,,,,0
552,CARLY SIMON,Solo / Group,,,,0
553,和田 弘,Solo / Group,,,,0
554,松田聖子,Solo / Group,,,,0
555,山下達郎,Solo / Group,,,,0
556,金旼鐘,Solo / Group,,,,0
557,FRANKIE AVALON,Solo / Group,,,,0
558,小雪,Solo / Group,,,,0
559,杜德偉,Solo / Group,,,,0
560,杜德偉+小林優美,Solo / Group,,,,0
561,范曉萱+100%樂團,Solo / Group,,,,0
562,火星人,Solo / Group,,,,0
563,ANNIE LENNOX,Solo / Group,,,,0
564,高玉玫,Solo / Group,,,,0
565,羅之豪,Solo / Group,,,,0
566,蔡詩芸,Solo / Group,,,,0
567,Neneh Cherry,Solo / Group,,,,0
568,Jocelyn 9.4.0,Solo / Group,,,,0
569,高爾宣OSN+王 ADEN,Solo / Group,,,,0
570,王志清,Solo / Group,,,,0
571,Barry Chen+瘦子E.SO,Solo / Group,,,,0
572,BLUEM OF YOUTH,Solo / Group,,,,0
573,怕胖團,Solo / Group,,,,0
574,謝金燕,Solo / Group,,,,0
575,陳惠婷,Solo / Group,,,,0
576,元若藍,Solo / Group,,,,0
577,蔡旻佑,Solo / Group,,,,0
578,棒棒堂,Solo / Group,,,,0
579,L.M.F,Solo / Group,,,,0
580,Yellow Lee,Solo / Group,,,,0
581,陳佩賢 Jesslyn,Solo / Group,,,,0
582,派偉俊,Solo / Group,,,,0
583,胡利基,Solo / Group,,,,0
584,謝和弦+王艷薇,Solo / Group,,,,0
585,The Platters,Solo / Group,,,,0
586,藍心湄+謝和弦,Solo / Group,,,,0
587,逆思樂團,Solo / Group,,,,0
588,許雅涵,Solo / Group,,,,0
589,男闘呼組,Solo / Group,,,,0
590,KENNY LOGGINS,Solo / Group,,,,0
591,Zyboy忠宇,Solo / Group,,,,0
592,蔡詩芸+頑童MJ116,Solo / Group,,,,0
593,左光平,Solo / Group,,,,0
